content_name,content_type,kcs
AnimalTester2,animated_example,"['SuperclassMethodCall', 'SuperReference', 'OverridingToString', 'ThisReference', 'InstanceFieldInvocation', 'ConstructorDefinition']"
BmiCalculator2,animated_example,"['java.lang.Math.round', 'java.lang.Math.pow', 'DoubleDataType', 'ExplicitTypeCasting', 'MultiplyExpression']"
DisplayTime2,animated_example,"['LongDataType', 'ModulusExpression', 'DivideExpression', 'ObjectMethodInvocation']"
FahrenheitToCelsius,animated_example,"['Constant', 'ConstantInitializationStatement', 'DoubleDataType', 'MultiplyExpression', 'SubtractExpression']"
InheritancePointTester2,animated_example,"['ThisReference', 'InstanceFieldInvocation', 'SuperReference', 'SuperclassMethodCall', 'ReturnStatement', 'OverridingToString']"
Initials2,animated_example,"['java.lang.String.substring', 'StringVariable', 'java.lang.String.length', 'StringInitializationStatement']"
Initials3,animated_example,"['java.lang.String.substring', 'StringVariable', 'java.lang.String.length', 'StringInitializationStatement']"
JAdjacentConsecutives,animated_example,"['NotEqualExpression', 'EqualExpression', 'AndExpression', 'SubtractExpression', 'IfStatement']"
JAdjacentGreater,animated_example,"['NotEqualExpression', 'DoubleDataType', 'AndExpression', 'IfStatement', 'WhileStatement']"
JArrayBasic2,animated_example,"['DoubleDataType', 'ForEachStatement', 'java.lang.System.out.print', 'ArrayInitializer']"
JArrayBasic3,animated_example,"['ForEachStatement', 'java.lang.System.out.print', 'ArrayInitializationStatement', 'ArrayInitializer']"
JArrayFillUserInput,animated_example,"['ArrayCreationStatement', 'ForEachStatement', 'java.lang.System.out.print', 'ArrayElement', 'ArrayVariable']"
JArrayMin,animated_example,"['ArrayElement', 'LessExpression', 'IfStatement', 'ArrayLength', 'ArrayInitializer']"
JArrayRotateLeftTwice,animated_example,"['ArrayElement', 'SubtractExpression', 'ArrayLength', 'ReturnStatement', 'ForEachStatement', 'java.lang.System.out.print']"
JArrayRotateRight,animated_example,"['SubtractExpression', 'ArrayElement', 'PostDecrementExpression', 'ArrayLength', 'ReturnStatement']"
JArrayRotateRightTwice,animated_example,"['SubtractExpression', 'ArrayElement', 'ArrayLength', 'PostDecrementExpression', 'ReturnStatement']"
JArraySwapAdjacentElements,animated_example,"['ArrayElement', 'AddExpression', 'ForEachStatement', 'java.lang.System.out.print', 'ArrayLength']"
JArrays2dBasic2,animated_example,"['ArrayElement', 'MultiDimensionalArrayDataType', 'NestedForLoops', 'ForStatement', 'PostIncrementExpression']"
JArrays2dBasic3,animated_example,"['ArrayElement', 'MultiDimensionalArrayDataType', 'NestedForLoops', 'ForStatement', 'PostIncrementExpression']"
JAverageArrayElements,animated_example,"['ArrayLength', 'ExplicitTypeCasting', 'EqualExpression', 'IfElseStatement', 'ForEachStatement']"
JAverageDouble,animated_example,"['DoubleDataType', 'EqualExpression', 'GreaterEqualExpression', 'IfElseStatement', 'SimpleVariable']"
JAverageEvenNums,animated_example,"['EqualExpression', 'ExplicitTypeCasting', 'ModulusExpression', 'NotEqualExpression', 'DoubleDataType', 'IfElseStatement']"
JBooleanDryHot2,animated_example,"['BooleanDataType', 'OrExpression', 'ObjectMethodInvocation', 'ImportStatement']"
JBooleanDryHot3,animated_example,"['BooleanDataType', 'NotExpression', 'AndExpression', 'ObjectMethodInvocation']"
JBooleanDryHot4,animated_example,"['XORExpression', 'BooleanDataType', 'NotExpression', 'OrExpression']"
JCharAt2,animated_example,"['CharDataType', 'java.lang.String.charAt', 'StringInitializationStatement', 'StringVariable']"
JCheckAge2,animated_example,"['FALSE', 'TRUE', 'java.lang.Integer.parseInt', 'StringVariable', 'NotExpression', 'TryCatchStatement']"
JCheckProductCode2,animated_example,"['java.lang.String.charAt', 'java.lang.String.equals', 'CharDataType', 'java.lang.String.substring', 'java.lang.Integer.parseInt', 'NotExpression']"
JDecInc2,animated_example,"['PreDecrementExpression', 'PreIncrementExpression', 'AddExpression']"
JDecInc3,animated_example,"['PreDecrementExpression', 'PreIncrementExpression', 'PostDecrementExpression']"
JEscapeChar2,animated_example,"['java.lang.System.out.print', 'StringDataType']"
JEscapeChar3,animated_example,"['java.lang.System.out.print', 'StringDataType']"
JFailCourse2,animated_example,"['BooleanDataType', 'OrExpression', 'LessExpression', 'ObjectMethodInvocation']"
JFailCourse3,animated_example,"['NotExpression', 'BooleanDataType', 'GreaterExpression', 'ObjectMethodInvocation']"
JForOne2,animated_example,"['PostIncrementExpression', 'ForStatement', 'LessExpression']"
JForThree2,animated_example,"['LessEqualExpression', 'AddAssignmentExpression', 'ForStatement']"
JForTwo2,animated_example,"['LessEqualExpression', 'PostIncrementExpression', 'ForStatement']"
JIfElseIfGrade2,animated_example,"['java.lang.String.equals', 'IfElseIfStatement', 'IfElseStatement', 'StringVariable']"
JIfElseWages2,animated_example,"['Constant', 'ConstantInitializationStatement', 'MultiplyExpression', 'IfElseStatement', 'AddAssignmentExpression', 'DoubleDataType']"
JInput2,animated_example,"['LessEqualExpression', 'GreaterEqualExpression', 'AndExpression', 'WhileStatement']"
JInput3,animated_example,"['LessEqualExpression', 'GreaterEqualExpression', 'AndExpression', 'WhileStatement']"
JInput4,animated_example,"['ModulusExpression', 'OrExpression', 'NotEqualExpression', 'GreaterEqualExpression', 'WhileStatement']"
JInputStat2,animated_example,"['java.lang.String.length', 'StringVariable', 'nullInitialization', nan, 'OnDemandImport', 'IfStatement', 'StringInitializationStatement']"
JLargestDivisor,animated_example,"['MinusAssignmentExpression', 'ModulusExpression', 'NotEqualExpression', 'SubtractExpression']"
JNestedIfMaxOfThree,animated_example,"['IfElseStatement', 'GreaterExpression', 'SimpleVariable', 'ObjectMethodInvocation']"
JNestedIfTemperature2,animated_example,"['IfElseStatement', 'IfElseIfStatement', 'DoubleDataType', 'GreaterExpression']"
JPhoneAge2,animated_example,"['BooleanDataType', 'NotExpression', 'OrExpression', 'ObjectMethodInvocation']"
JPrintMedalsRowColumnTotal,animated_example,"['ArrayElement', 'ArrayVariable', 'MultiDimensionalArrayDataType', 'ArrayInitializationStatement', 'ArrayInitializer']"
JRentCar2,animated_example,"['BooleanDataType', 'NotExpression', 'GreaterEqualExpression', 'AndExpression']"
JRentCar3,animated_example,"['BooleanDataType', 'OrExpression', 'GreaterEqualExpression', 'AndExpression']"
JRepeatedSequence2,animated_example,"['LessEqualExpression', 'java.lang.System.out.print', 'NestedForLoops', 'ForStatement']"
JReverseNumber,animated_example,"['DoStatement', 'ModulusExpression', 'MultiplyExpression', 'SimpleVariable']"
JSearchArrayCountsEach,animated_example,"['ArrayLength', 'DoubleDataType', 'ArrayVariable', 'ArrayElement', 'ArrayDataType', 'ArrayInitializer']"
JSearchArrayTotalCounts,animated_example,"['DoubleDataType', 'ForEachStatement', 'ArrayInitializationStatement', 'ArrayInitializer', 'ArrayVariable']"
JSodaSurverySodaAvg,animated_example,"['ArrayElement', 'MultiDimensionalArrayDataType', 'ArrayCreationStatement', 'PostIncrementExpression', 'ForStatement', 'ExplicitTypeCasting']"
JSodaSurverySodaRespondentAvg,animated_example,"['ArrayCreationStatement', 'ExplicitTypeCasting', 'ArrayElement', 'ArrayVariable', 'PostIncrementExpression', 'ForStatement']"
JStars2,animated_example,"['LessEqualExpression', 'NestedForLoops', 'PostIncrementExpression', 'ForStatement', 'SubtractExpression']"
JStringEqual2,animated_example,"['java.lang.String.equalsIgnoreCase', 'StringInitializationStatement', 'java.lang.String.replace']"
JSumDigits,animated_example,"['DoStatement', 'ModulusExpression', 'SimpleVariable', 'DivideExpression']"
JTemperatureListDaysAboveThreshold,animated_example,"['TRUE', 'ArrayCreationStatement', 'ArrayElement', 'IfStatement', 'ArrayLength', 'ForStatement', 'PostIncrementExpression']"
JThreeBoolean2,animated_example,"['BooleanDataType', 'NotExpression', 'AndExpression', 'ObjectMethodInvocation']"
JThreeBoolean3,animated_example,"['BooleanDataType', 'EqualExpression', 'AndExpression', 'ObjectMethodInvocation']"
JVocabulary2,animated_example,"['java.util.ArrayList', 'java.util.ArrayList.size', 'OnDemandImport', 'ThrowsSpecification', 'java.util.ArrayList.add', 'GenericObjectCreationStatement', 'IfElseIfStatement']"
JWinPercentageInput,animated_example,"['ExplicitTypeCasting', 'WhileStatement', 'OrExpression', 'LessEqualExpression', 'DivideExpression']"
JWinPercentageWonEqual,animated_example,"['OrExpression', 'ExplicitTypeCasting', 'WhileStatement', 'AddExpression', 'LessExpression']"
JWorkHours2,animated_example,"['TryCatchStatement', 'java.lang.Double.parseDouble', 'java.lang.Integer.parseInt', 'StringVariable', 'ArrayElement', 'nullInitialization', nan]"
JWriteSquaresOdd,animated_example,"['MultiplyExpression', 'AddAssignmentExpression', 'ForStatement', 'LessExpression']"
JWriteSquaresRange,animated_example,"['LessEqualExpression', 'MultiplyExpression', 'PostIncrementExpression', 'ForStatement']"
LoanTester2,animated_example,"['InstanceFieldInvocation', 'ThisReference', 'DoubleDataType', 'ReturnStatement', 'InstanceField', 'PrivateFieldSpecifier']"
PointTester2,animated_example,"['ReturnStatement', 'PrivateFieldSpecifier', 'InstanceField', 'java.lang.Math.sqrt', 'SimpleVariable']"
PythagoreanTheorem2,animated_example,"['java.lang.Math.pow', 'java.lang.Math.sqrt', 'DoubleDataType', 'SubtractExpression']"
StringAddition2,animated_example,"['AddExpression', 'StringAddition', 'StringDataType']"
TVTester2,animated_example,"['FALSE', 'InstanceFieldInitializationStatement', 'AndExpression', 'PrivateFieldSpecifier', 'InstanceField', 'IfStatement']"
Transactions2,animated_example,"['LongDataType', 'ReturnStatement', 'InstanceField', 'PrivateFieldSpecifier', 'PublicConstructorSpecifier', 'ConstructorDefinition', 'DoubleDataType', 'FinalFieldSpecifier']"
VendingMachine2,animated_example,"['Constant', 'ConstantInitializationStatement', 'ModulusExpression', 'DivideExpression', 'MultiplyExpression']"
ifElseOddEven,animated_example,"['ModulusExpression', 'EqualExpression', 'IfElseStatement', 'ObjectMethodInvocation']"
